Pos,Name,BV,Team,12_xMins,12_Pts
3,Walcott,5.8,17,5,0.295
1,Forster,4.4,17,0,0
1,McCarthy,4.6,17,89,3.879
3,Romeu,4.5,17,84,2.495
3,Redmond,5.9,17,41,1.978
4,Ings,7.7,3,22,1.232
2,Stephens,4.4,17,0,0
3,S.Armstrong,5.8,17,59,2.896
2,Vestergaard,4.8,14,21,0.652
3,Ward-Prowse,6.3,17,66,3.148
2,Walker-Peters,4.8,17,82,3.396
2,Bednarek,4.4,17,88,3.248
4,Nlundulu,4.5,17,0,0
4,Adams,6.8,17,71,3.778
3,Tella,4.7,17,1,0.051
3,Smallbone,4.5,17,3,0.135
4,Obafemi,4.5,17,0,0
3,Diallo,4.5,17,12,0.514
3,Djenepo,5.3,17,14,0.766
2,Salisu,4.5,17,88,3.447
1,Hart,4.5,18,0,0
1,Lloris,5.4,18,89,3.794
3,Sissoko,4.5,19,85,2.271
2,Alderweireld,5,18,0,0
3,Lamela,6,18,0,0
4,Kane,12.2,18,85,5.681
2,Aurier,4.9,18,0,0
3,Son,10.3,18,83,5.642
2,Doherty,4.7,18,23,1.168
2,Dier,4.5,18,86,3.465
3,Lucas Moura,6.4,18,60,3.19
3,Dele,6.4,18,38,1.964
2,Davies,4.4,18,74,2.971
3,Højbjerg,4.9,18,86,2.64
3,Winks,4.4,18,8,0.354
2,Sánchez,4.5,18,6,0.247
2,Sessegnon,4.3,18,0,0
3,Bergwijn,5.9,18,8,0.475
2,Reguilón,5,18,85,3.957
2,Tanganga,4.3,18,0,0
3,Lo Celso,5.9,18,34,1.699
3,Skipp,4.5,18,0,0
2,Rodon,4.3,18,0,0
3,Ndombele,5.8,18,58,2.693
1,Foster,4.1,19,89,3.205
2,Rose,4.2,19,48,1.023
3,Gosling,4.8,19,8,0.361
2,Cathcart,4.4,19,87,1.743
4,Deeney,5.4,19,0,0
3,Cleverley,4.8,19,76,2.668
2,Femenía,4.3,19,66,1.621
4,Gray,5.4,19,0,0
2,Kabasele,4.3,19,0,0
3,Chalobah,5,19,0,0
3,Hughes,4.7,10,1,0.049
2,Troost-Ekong,4.4,19,88,1.709
4,Perica,4.5,19,0,0
1,Bachmann,4.3,19,0,0
2,Masina,4.3,19,41,1.087
3,Sema,5.2,19,0,0
3,Zinckernagel,5.5,19,0,0
4,Success,5,19,0,0
3,Dele-Bashiru,4.5,19,0,0
4,Fletcher,4.9,19,0,0
2,Sierralta,4.3,19,3,0.096
3,Quina,4.5,19,0,0
2,Navarro,4,19,0,0
3,Sarr,6.1,19,85,3.446
2,Ngakia,4.3,19,22,0.725
2,Wilmot,4.5,19,0,0
3,Hungbo,4.5,19,0,0
3,Louza,5.2,19,7,0.313
4,João Pedro,5.4,19,46,2.035
3,Baah,4.4,19,0,0
3,Noble,4.4,9,18,0.866
1,Randolph,4.4,9,0,0
1,Fabianski,5,9,89,3.665
2,Ogbonna,5,9,0,0
2,Reid,3.9,9,0,0
2,Cresswell,5.5,9,86,3.624
3,Yarmolenko,5.2,9,5,0.302
4,Antonio,8.2,9,84,4.244
2,Dawson,4.9,9,87,3.216
2,Fredericks,4.4,9,0,0
3,Lanzini,5.8,9,19,0.981
2,Masuaku,4.4,9,4,0.164
2,Coufal,4.8,9,65,2.48
3,Benrahma,6.4,9,74,3.651
3,Bowen,6.3,9,77,4.06
3,Rice,5,9,66,2.087
3,Soucek,5.8,9,87,3.014
3,Fornals,6,9,84,3.358
2,Diop,4.3,9,1,0.034
2,Johnson,4,9,36,1.438
3,Moutinho,5,20,81,2.803
1,Patrício,5,20,0,0
2,Boly,4.9,20,5,0.193
2,Coady,4.5,20,89,2.711
4,Jiménez,7.7,20,70,3.777
2,Saïss,5,20,87,2.897
2,Marçal,4.4,20,33,1.198
2,Jonny,4.5,20,0,0
3,Dendoncker,4.8,20,22,0.933
3,Traoré,5.8,20,62,2.638
3,Neves,5.4,20,75,2.606
2,Semedo,4.9,20,86,2.946
3,Podence,5.5,20,18,0.99
2,Kilman,4.5,20,87,2.729
3,Gibbs-White,4.5,20,0,0
3,Neto,6.4,20,0,0
3,Otasowie,4.5,20,0,0
2,Hoever,3.9,20,3,0.115
1,Söndergaard,4,20,0,0
4,Fabio Silva,5.7,20,1,0.056
2,Mosquera,4.5,20,0,0
4,Welbeck,6,5,0,0
1,Gunn,4,11,0,0
3,Rashica,5.2,11,56,2.623
4,Dennis,5.2,19,63,2.403
2,Collins,4.3,7,1,0.045
1,Ruddy,4.4,20,0,0
3,Fernandinho,4.8,4,5,0.242
2,Pollock,4,19,0,0
4,Daka,7.1,14,13,0.69
2,Gibson,4.4,11,87,2.431
2,Giannoulis,4.4,11,25,0.892
3,Soumaré,4.8,14,48,1.551
3,Mata,4.8,16,0,0
2,Perraud,4.9,17,19,0.867
3,Trincão,5.8,20,38,2
3,Mwepu,5.9,5,44,1.512
2,Firpo,4.8,13,68,1.877
3,Olise,5.4,10,25,1.242
2,Fernández,4.3,2,22,0.785
2,Tavares,4.3,1,86,1.608
3,Etebo,4.4,19,0,0
4,King,5.6,19,73,3.168
4,Mebude,4.5,19,0,0
2,Ait Nouri,4.3,20,52,2.031
3,Lees-Melou,4.9,11,32,1.294
4,Cucho,5,19,20,0.996
2,Bertrand,4.7,14,1,0.04
2,Ward,4.5,10,88,2.92
1,Sá,5,20,88,3.556
1,Scherpen,4.5,5,25,1.016
2,Guéhi,4.5,10,89,3.078
3,Sambi Lokonga,4.8,1,69,1.98
3,Onyeka,4.9,6,37,1.506
1,Hennessey,4.5,7,0,0
1,Begović,4,12,0,0
3,Townsend,5.6,12,80,2.483
2,Ajer,4.5,6,0,0
3,Gray,5.7,12,76,2.489
3,Sancho,8.9,16,14,0.999
1,Gollini,4.3,18,0,0
3,Bryan,5.7,18,0,0
2,Andersen,4.5,10,64,2.221
1,Areola,4.8,9,0,0
1,Klaesson,4.4,13,0,0
2,Livramento,4.5,17,70,2.849
3,Bailey,6.4,3,63,3.519
2,Clyne,4.3,10,0,0
2,Romero,4.9,18,84,3.172
3,Kucka,5.5,19,0,0
3,Ramsey,4.5,3,0,0
3,Philogene-Bidace,5,3,0,0
2,Thompson,4.4,6,1,0.037
3,Baptiste,4.9,6,10,0.46
4,Andone,5,5,0,0
2,Sarr,4.9,8,0,0
2,Kenny,4.4,12,2,0.053
3,Gordon,4.5,12,21,0.875
3,Gbamin,4.5,12,7,0.29
3,Dewsbury-Hall,4.5,14,2,0.085
3,Elliott,5.3,15,0,0
3,Palmer,4.5,4,0,0
3,Edozie,4.8,4,0,0
1,Heaton,4,16,0,0
2,Dalot,4.4,16,4,0.182
3,Pereira,5,16,0,0
3,Elanga,4.8,16,0,0
1,Woodman,4.5,2,0,0
1,Gillespie,4,2,0,0
2,Mumba,4,11,0,0
4,Sargent,5.4,11,61,2.422
3,Elyounoussi,5.5,17,73,3.524
4,Broja,5,17,35,2.013
4,Long,5.4,17,0,0
4,Scarlett,4.5,18,0,0
2,Alves,4,9,0,0
3,Coventry,4.5,9,0,0
4,Cutrone,5,20,0,0
3,Wissa,5.9,6,5,0.305
4,A.Armstrong,5.9,17,71,4.125
3,Chukwuemeka,4.5,3,0,0
2,Chalobah,4.9,8,27,1.271
3,Tzolis,4.8,11,34,1.553
4,Lukaku,11.5,8,38,2.335
4,Balogun,4.8,1,0,0
3,Nelson,5,1,0,0
1,Hein,4,1,0,0
4,Richardson,4.5,7,0,0
2,Thomas,4,7,0,0
4,Zeqiri,4.5,5,0,0
2,Karbownik,4,5,0,0
3,Richards,4.5,5,0,0
3,Caicedo,4.5,5,0,0
2,Emerson,4.5,8,0,0
2,Hannam,4,10,0,0
3,Rak-Sakyi,4.5,10,0,0
4,Street,4.5,10,0,0
3,Banks,4.5,10,0,0
2,Branthwaite,4,12,1,0.029
4,Broadhead,4.5,12,0,0
2,Valery,4,17,9,0.384
3,Cundle,4.5,20,0,0
3,Campbell,4.5,20,0,0
2,Marques,4,20,0,0
4,Greenwood,4.5,13,0,0
3,Summerville,4.5,13,10,0.488
3,Forshaw,4.5,13,8,0.347
3,Woodburn,4.5,15,0,0
2,Baptiste,4,9,0,0
2,Varane,5.5,16,0,0
1,Fernández,4.5,6,88,3.608
3,Tufan,5,19,76,2.298
3,Ødegaard,5.5,1,25,1.075
1,Ramsdale,4.7,1,89,3.207
2,Roberts,4,5,0,0
1,Matthews,4,10,0,0
2,Drameh,4,13,0,0
2,Cresswell,4,13,3,0.104
4,Kean,6,12,0,0
2,Dodgson,4,7,0,0
3,Doyle,4.5,4,0,0
2,Lyanco,4.5,17,0,0
4,Archer,4.5,3,0,0
2,Stevens,4,6,1,0.041
2,Nkounkou,4,12,0,0
1,Lonergan,4,12,0,0
1,Okonkwo,4,1,0,0
1,Jakupovic,4,14,0,0
1,Elliot,4,19,0,0
3,Lennon,5,7,4,0.196
3,McCarron,4.5,13,1,0.031
4,Gelhardt,4.5,13,2,0.101
3,Cornet,6,7,71,3.22
4,Ronaldo,12.4,16,82,6.074
2,Kabak,4.5,11,61,1.796
3,Normann,4.5,11,72,2.201
3,Vlasic,5.8,9,13,0.742
4,Hwang,5.8,20,77,3.353
2,Cucurella,5,5,71,2.818
2,Roberts,4.5,7,4,0.178
4,Edouard,6.5,10,71,3.555
3,Lookman,6,14,42,1.808
2,Emerson Royal,4.9,18,75,3.387
3,Kral,4.4,9,2,0.084
2,Tomiyasu,4.6,1,85,1.455
4,Rondón,6,12,12,0.557
3,Saúl,5.1,8,5,0.249
1,Carson,3.9,4,0,0
2,Zanka,4.5,6,67,2.271
4,Locadia,4.4,5,4,0.236
1,Sinisalo,4,3,0,0
3,Markanday,4.5,18,0,0
2,Omole,4,18,0,0
3,White,4.5,2,0,0
3,Kenneh,4.4,13,0,0
3,McKinstry,4.4,13,0,0
4,Simms,4.5,12,0,0
2,Mbete,4,4,0,0
2,Wilson-Esbrand,4,4,0,0
3,Lavia,4.5,4,0,0
1,Bettinelli,4,8,0,0
4,Dobbin,4.5,12,0,0
2,Hjelde,4,13,0,0
3,Anderson,4.5,2,0,0
2,Bogarde,4,3,0,0
1,Moulden,4,20,0,0
3,Sarmiento,4.5,5,0,0
3,Whitaker,4.5,12,0,0
3,Maghoma,4.5,6,0,0
1,Slicker,4,4,0,0
1,Tyrer,4,12,0,0
2,Ashby,4,9,0,0
